attendance,internal_marks,assignment_marks,study_hours,previous_score,final_score
95,92,95,5,90,94
92,88,90,4,86,90
90,85,88,4,84,87
88,82,85,4,80,84
85,80,82,3,78,81
82,76,80,3,75,78
80,75,78,3,72,76
78,72,75,3,70,73
75,70,72,2,68,71
72,68,70,2,65,68
70,65,68,2,63,65
68,62,65,2,60,63
65,60,62,1,58,60
62,55,60,1,55,57
60,52,55,1,52,54
58,50,52,1,50,52
55,48,50,1,47,50
52,45,48,1,45,47
50,42,45,1,42,44
48,40,42,0.5,40,42
96,94,96,6,93,96
94,90,92,5,90,93
91,87,90,4,88,91
89,84,87,4,84,87
86,81,84,3,80,83
83,78,81,3,77,80
79,74,77,2.5,73,76
76,71,74,2.5,70,73
73,67,71,2,67,70
69,63,67,2,62,66
